size,array_type,algorithm,repeats,time_ms
5100,almost_sorted,introsort,3,0.209433
5200,random,quick,3,0.786033
5200,random,introsort,3,0.590267
5200,reversed,quick,3,0.378867
5200,reversed,introsort,3,0.186933
5200,almost_sorted,quick,3,0.4031
5200,almost_sorted,introsort,3,0.185733
5300,random,quick,3,0.836733
5300,random,introsort,3,0.612233
5300,reversed,quick,3,0.392633
5300,reversed,introsort,3,0.194667
5300,almost_sorted,quick,3,0.396433
5300,almost_sorted,introsort,3,0.1839
5400,random,quick,3,0.850833
5400,random,introsort,3,0.586867
5400,reversed,quick,3,0.428233
5400,reversed,introsort,3,0.2114
5400,almost_sorted,quick,3,0.395667
5400,almost_sorted,introsort,3,0.202067
5500,random,quick,3,0.986967
5500,random,introsort,3,1.0034
5500,reversed,quick,3,0.6774
5500,reversed,introsort,3,0.219767
5500,almost_sorted,quick,3,0.444167
5500,almost_sorted,introsort,3,1.03903
5600,random,quick,3,2.17313
5600,random,introsort,3,1.3941
5600,reversed,quick,3,0.674467
5600,reversed,introsort,3,0.2927
5600,almost_sorted,quick,3,0.565633
5600,almost_sorted,introsort,3,0.228633
5700,random,quick,3,0.9228
5700,random,introsort,3,0.683367
5700,reversed,quick,3,0.4786
5700,reversed,introsort,3,0.209133
5700,almost_sorted,quick,3,0.411467
5700,almost_sorted,introsort,3,0.2171
5800,random,quick,3,0.8718
5800,random,introsort,3,0.7573
5800,reversed,quick,3,0.449033
5800,reversed,introsort,3,0.217033
5800,almost_sorted,quick,3,0.4098
5800,almost_sorted,introsort,3,0.232767
5900,random,quick,3,0.908967
5900,random,introsort,3,0.646433
5900,reversed,quick,3,0.450633
5900,reversed,introsort,3,0.2459
5900,almost_sorted,quick,3,0.659767
5900,almost_sorted,introsort,3,0.340533
6000,random,quick,3,2.36507
6000,random,introsort,3,0.843933
6000,reversed,quick,3,0.443067
6000,reversed,introsort,3,0.2503
6000,almost_sorted,quick,3,0.696533
6000,almost_sorted,introsort,3,0.416267
6100,random,quick,3,1.18007
6100,random,introsort,3,1.11503
6100,reversed,quick,3,0.619333
6100,reversed,introsort,3,0.2715
6100,almost_sorted,quick,3,0.5647
6100,almost_sorted,introsort,3,0.3216
6200,random,quick,3,1.27717
6200,random,introsort,3,0.893467
6200,reversed,quick,3,0.574167
6200,reversed,introsort,3,0.317733
6200,almost_sorted,quick,3,0.801533
6200,almost_sorted,introsort,3,0.444133
6300,random,quick,3,1.63367
6300,random,introsort,3,1.14413
6300,reversed,quick,3,0.760667
6300,reversed,introsort,3,0.396567
6300,almost_sorted,quick,3,0.7305
6300,almost_sorted,introsort,3,0.382133
6400,random,quick,3,1.61277
6400,random,introsort,3,0.9018
6400,reversed,quick,3,0.483167
6400,reversed,introsort,3,0.265167
